Address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1727 RUTLEDGE ST PITTSBURGH PA 15211",40.440343,-80.026328,1,rooftop,1727,"Rutledge St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"106 ISABELLA ST PITTSBURGH PA 15212",40.44808,-80.002378,1,rooftop,106,"Isabella St",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"6 1/2 WYOMING ST PITTSBURGH PA 15211",40.430791,-80.006439,1,rooftop,"6 1/2","Wyoming St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"226 EDITH ST PITTSBURGH PA 15211",40.438792,-80.023671,1,rooftop,226,"Edith St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"1703 WEBSTER AVE PITTSBURGH PA 15219",40.444285,-79.985612,1,rooftop,1703,"Webster Ave",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"529 E CARSON ST PITTSBURGH PA 15203",40.428718,-79.994021,1,rooftop,529,"E Carson St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"522 CABOT WAY PITTSBURGH PA 15203",40.428907,-79.993972,1,rooftop,522,"Cabot Way",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1026 BINGHAM ST PITTSBURGH PA 15203",40.429296,-79.987676,1,rooftop,1026,"Bingham St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"601 NATCHEZ ST PITTSBURGH PA 15211",40.42629,-80.01295,1,rooftop,601,"Natchez St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"431 NATCHEZ ST PITTSBURGH PA 15211",40.42773,-80.012603,1,rooftop,431,"Natchez St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"355 REPUBLIC ST PITTSBURGH PA 15211",40.437119,-80.026892,1,rooftop,355,"Republic St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"1424 MURIEL ST PITTSBURGH PA 15203",40.43006,-79.983677,1,rooftop,1424,"Muriel St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1106 FREYBURG ST PITTSBURGH PA 15203",40.426502,-79.987094,1,rooftop,1106,"Freyburg St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"117 S 11TH ST PITTSBURGH PA 15203",40.426918,-79.98733,1,rooftop,117,"S 11th St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1000 GRANDVIEW AVE UNIT 606 PITTSBURGH PA 15211",40.437269,-80.016344,1,rooftop,1000,"Grandview Ave",Apt,606,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"11 5TH AVE PITTSBURGH PA 15222",40.442321,-80.002858,1,rooftop,11,"5th Ave",,,Pittsburgh,PA,"Allegheny County",15222,US,Allegheny
"120 S 15TH ST UNIT 303 PITTSBURGH PA 15203",40.42728,-79.983727,1,rooftop,120,"S 15th St",Apt,303,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"125 S 14TH ST PITTSBURGH PA 15203",40.426019,-79.98397,1,rooftop,125,"S 14th St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"92 S 14TH ST PITTSBURGH PA 15203",40.426981,-79.984305,1,rooftop,92,"S 14th St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"301 5TH AVE PITTSBURGH PA 15222",40.440715,-79.999718,1,rooftop,301,"5th Ave",,,Pittsburgh,PA,"Allegheny County",15222,US,Allegheny
"301 5TH AVE UNIT 722 PITTSBURGH PA 15222",40.440715,-79.999718,1,rooftop,301,"5th Ave",Apt,722,Pittsburgh,PA,"Allegheny County",15222,US,Allegheny
"104 S 12TH ST PITTSBURGH PA 15203",40.427388,-79.986499,1,rooftop,104,"S 12th St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"157 SWEENEY WAY PITTSBURGH PA 15219",40.44434,-79.981926,1,rooftop,157,"Sweeney Way",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"109 S 22ND ST PITTSBURGH PA 15203",40.427658,-79.974541,1,rooftop,109,"S 22nd St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2711 COBDEN ST PITTSBURGH PA 15203",40.42004,-79.970106,1,rooftop,2711,"Cobden St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2323 HARCUM WAY PITTSBURGH PA 15203",40.426082,-79.972247,1,rooftop,2323,"Harcum Way",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2325 JANE ST PITTSBURGH PA 15203",40.426603,-79.972193,1,rooftop,2325,"Jane St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2926 ARLINGTON AVE PITTSBURGH PA 15210",40.417007,-79.966511,1,rooftop,2926,"Arlington Ave",,,Pittsburgh,PA,"Allegheny County",15210,US,Allegheny
"138 FREDERICK ST PITTSBURGH PA 15210",40.416211,-79.98244,1,rooftop,138,"Frederick St",,,"Mount Oliver",PA,"Allegheny County",15210,US,Allegheny
"228 LELIA ST PITTSBURGH PA 15211",40.421593,-80.009231,1,rooftop,228,"Lelia St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"2524 E CARSON ST PITTSBURGH PA 15203",40.427341,-79.968785,1,rooftop,2524,"E Carson St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2521 SARAH ST PITTSBURGH PA 15203",40.426886,-79.969318,1,rooftop,2521,"Sarah St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"340 ROCHELLE ST PITTSBURGH PA 15210",40.414848,-79.994922,1,rooftop,340,"Rochelle St",,,Pittsburgh,PA,"Allegheny County",15210,US,Allegheny
"334 BAUSMAN ST PITTSBURGH PA 15210",40.4141,-79.994632,1,rooftop,334,"Bausman St",,,Pittsburgh,PA,"Allegheny County",15210,US,Allegheny
"316 CLOVER ST PITTSBURGH PA 15210",40.414202,-79.972118,1,rooftop,316,"Clover St",,,Pittsburgh,PA,"Allegheny County",15210,US,Allegheny
"144 PENN AVE PITTSBURGH PA 15210",40.414172,-79.98557,1,rooftop,144,"Penn Ave",,,Pittsburgh,PA,"Allegheny County",15210,US,Allegheny
"1833 MERRIMAN WAY PITTSBURGH PA 15203",40.431045,-79.979555,1,rooftop,1833,"Merriman Way",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1730 MERRIMAN ST PITTSBURGH PA 15203",40.430955,-79.981021,1,rooftop,1730,"Merriman St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1711 MERRIMAN CT PITTSBURGH PA 15203",40.431248,-79.981408,0.6,rooftop,1711,"Merriman St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2250 MARY ST UNIT 112 PITTSBURGH PA 15203",40.425388,-79.97448,1,rooftop,2250,"Mary St",Apt,112,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2250 MARY ST UNIT 115 PITTSBURGH PA 15203",40.425388,-79.97448,1,rooftop,2250,"Mary St",Apt,115,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2250 MARY ST UNIT 117 PITTSBURGH PA 15203",40.425388,-79.97448,1,rooftop,2250,"Mary St",Apt,117,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2250 MARY ST UNIT 201-203 PITTSBURGH PA 15203",40.425388,-79.97448,1,rooftop,2250,"Mary St",Apt,201,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2250 MARY ST UNIT 216 PITTSBURGH PA 15203",40.425388,-79.97448,1,rooftop,2250,"Mary St",Apt,216,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"29 S 17TH ST PITTSBURGH PA 15203",40.431243,-79.981628,1,rooftop,29,"S 17th St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1712 SOUTH SHORE CT PITTSBURGH PA 15203",40.431734,-79.98119,1,rooftop,1712,"S Shore Ct",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1734 SOUTH SHORE CT PITTSBURGH PA 15203",40.431812,-79.980825,1,rooftop,1734,"S Shore Ct",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1615 MERRIMAN CT UNIT 102 PITTSBURGH PA 15203",40.431321,-79.982024,1,rooftop,1615,"Merriman Ct",Unit,102,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"38 S 18TH ST PITTSBURGH PA 15203",40.430803,-79.980557,1,rooftop,38,"S 18th St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"37 S 18TH ST #2601 PITTSBURGH PA 15203",40.430691,-79.980163,1,rooftop,37,"S 18th St",#,2601,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2821 JANE ST PITTSBURGH PA 15203",40.424677,-79.966488,1,rooftop,2821,"Jane St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"501 GRIFFIN ST PITTSBURGH PA 15211",40.423155,-80.010561,1,rooftop,501,"Griffin St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"1812 WHARTON ST PITTSBURGH PA 15203",40.430385,-79.979824,1,rooftop,1812,"Wharton St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1914 HURON ST PITTSBURGH PA 15203",40.422622,-79.980398,1,rooftop,1914,"Huron St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"86 LACLEDE ST PITTSBURGH PA 15211",40.423534,-80.003124,1,rooftop,86,"Laclede St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"2532 LETICOE ST PITTSBURGH PA 15203",40.422971,-79.970769,1,rooftop,2532,"Leticoe St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1813 WYLIE AVE PITTSBURGH PA 15219",40.443817,-79.983745,1,rooftop,1813,"Wylie Ave",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"2539 WYLIE AVE PITTSBURGH PA 15219",40.448807,-79.970551,1,rooftop,2539,"Wylie Ave",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"2102 SIDNEY ST PITTSBURGH PA 15203",40.429272,-79.975928,1,rooftop,2102,"Sidney St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2118 SIDNEY ST PITTSBURGH PA 15203",40.429224,-79.975328,1,rooftop,2118,"Sidney St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2120 SIDNEY ST PITTSBURGH PA 15203",40.42922,-79.97527,1,rooftop,2120,"Sidney St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2612 STELLA ST PITTSBURGH PA 15203",40.422898,-79.969822,1,rooftop,2612,"Stella St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"2740 SHELLY ST PITTSBURGH PA 15203",40.422043,-79.967736,1,rooftop,2740,"Shelly St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"129 S 16TH ST PITTSBURGH PA 15203",40.427695,-79.982665,1,rooftop,129,"S 16th St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"103 S 17TH ST PITTSBURGH PA 15203",40.428264,-79.981961,1,rooftop,103,"S 17th St",,,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"1407 COLUMBUS AVE PITTSBURGH PA 15233",40.457488,-80.027825,1,rooftop,1407,"Columbus Ave",,,Pittsburgh,PA,"Allegheny County",15233,US,Allegheny
"518 KNOLL ST PITTSBURGH PA 15212",40.45771,-80.001219,1,rooftop,518,"Knoll St",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"712 N TAYLOR AVE PITTSBURGH PA 15212",40.456132,-80.014863,1,rooftop,712,"N Taylor Ave",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"521 N TAYLOR AVE PITTSBURGH PA 15212",40.456226,-80.012955,1,rooftop,521,"N Taylor Ave",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"800 DELMONT AVE PITTSBURGH PA 15210",40.415744,-80.004116,1,rooftop,800,"Delmont Ave",,,Pittsburgh,PA,"Allegheny County",15210,US,Allegheny
"911 SHADYCREST RD PITTSBURGH PA 15216",40.421242,-80.025533,1,rooftop,911,"Shadycrest Rd",,,Pittsburgh,PA,"Allegheny County",15216,US,Allegheny
"214 SHADYHILL RD PITTSBURGH PA 15205",40.434279,-80.048257,1,rooftop,214,"Shadyhill Rd",,,Pittsburgh,PA,"Allegheny County",15205,US,Allegheny
"1812 HETHLON ST PITTSBURGH PA 15220",40.434281,-80.04588,1,rooftop,1812,"Hethlon St",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"602 SUISMON ST PITTSBURGH PA 15212",40.455549,-79.99949,1,rooftop,602,"Suismon St",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"1204 MONTEREY ST PITTSBURGH PA 15212",40.45511,-80.012647,1,rooftop,1204,"Monterey St",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"1105 TROPICAL AVE PITTSBURGH PA 15216",40.417912,-80.025015,1,rooftop,1105,"Tropical Ave",,,Pittsburgh,PA,"Allegheny County",15216,US,Allegheny
"1463 HIDDEN TIMBER DR PITTSBURGH PA 15220",40.446115,-80.049231,1,rooftop,1463,"Hidden Timber Dr",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"1123 STRAHLEY PL PITTSBURGH PA 15220",40.445747,-80.042058,1,rooftop,1123,"Strahley Pl",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"1854 CLAYTON AVE PITTSBURGH PA 15214",40.46065,-80.011177,1,rooftop,1854,"Clayton Ave",,,Pittsburgh,PA,"Allegheny County",15214,US,Allegheny
"1303 BEECHVIEW AVE PITTSBURGH PA 15216",40.416136,-80.024793,1,rooftop,1303,"Beechview Ave",,,Pittsburgh,PA,"Allegheny County",15216,US,Allegheny
"1045 VALONIA ST PITTSBURGH PA 15220",40.447388,-80.03824,1,rooftop,1045,"Valonia St",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"116 LEON RD PITTSBURGH PA 15220",40.419565,-80.041495,1,rooftop,116,"Leon Rd",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"9 OAKVILLE DR PITTSBURGH PA 15220",40.417191,-80.042429,1,rooftop,9,"Oakville Dr",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"1022 GLENCOE AVE PITTSBURGH PA 15220",40.414763,-80.047011,1,rooftop,1022,"Glencoe Ave",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"1913 BERDELLA ST PITTSBURGH PA 15220",40.444073,-80.043861,1,rooftop,1913,"Berdella St",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"502 ARMANDALE ST PITTSBURGH PA 15212",40.458571,-80.012777,1,rooftop,502,"Armandale St",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"923 JAMES ST PITTSBURGH PA 15212",40.455709,-80.001528,1,rooftop,923,"James St",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"1817 WARRIORS RD PITTSBURGH PA 15205",40.431719,-80.04875,1,rooftop,1817,"Warriors Rd",,,Pittsburgh,PA,"Allegheny County",15205,US,Allegheny
"112 MARLOW ST PITTSBURGH PA 15220",40.443442,-80.038992,1,rooftop,112,"Marlow St",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"1521 GARFIELD AVE PITTSBURGH PA 15212",40.45803,-80.012557,1,rooftop,1521,"Garfield Ave",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"953 HASLAGE AVE PITTSBURGH PA 15212",40.460903,-79.995414,1,rooftop,953,"Haslage Ave",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"444 RIDGEMONT DR PITTSBURGH PA 15220",40.432238,-80.035453,1,rooftop,444,"Ridgemont Dr",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"378 JUNIUS ST PITTSBURGH PA 15220",40.432428,-80.034247,1,rooftop,378,"Junius St",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"1950 WARRIORS RD PITTSBURGH PA 15205",40.42871,-80.04729,1,rooftop,1950,"Warriors Rd",,,Pittsburgh,PA,"Allegheny County",15205,US,Allegheny
"1857 WARRIORS RD PITTSBURGH PA 15205",40.43072,-80.048142,1,rooftop,1857,"Warriors Rd",,,Pittsburgh,PA,"Allegheny County",15205,US,Allegheny
"405 ARMANDALE ST PITTSBURGH PA 15212",40.458498,-80.011995,1,rooftop,405,"Armandale St",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"276 RINGOLD AVE PITTSBURGH PA 15205",40.425183,-80.04814,1,rooftop,276,"Ringold Ave",,,Pittsburgh,PA,"Allegheny County",15205,US,Allegheny
"1420 FEDERAL ST PITTSBURGH PA 15212",40.457986,-80.007275,1,rooftop,1420,"Federal St",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"823 CRUCIBLE ST PITTSBURGH PA 15220",40.442272,-80.04066,1,rooftop,823,"Crucible St",,,Pittsburgh,PA,"Allegheny County",15220,US,Allegheny
"216 TENNYSON AVE PITTSBURGH PA 15213",40.447225,-79.954911,1,range_interpolation,216,"Tennyson Ave",,,Pittsburgh,PA,"Allegheny County",15213,US,"TIGER/Line® dataset from the US Census Bureau"
"220 N BELLEFIELD AVE UNIT 1002 PITTSBURGH PA 15213",40.449106,-79.952758,1,rooftop,220,"N Bellefield Ave",Apt,1002,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"3266 WARD ST PITTSBURGH PA 15213",40.432849,-79.954677,1,rooftop,3266,"Ward St",,,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"1134 GOETTMAN ST PITTSBURGH PA 15212",40.458357,-79.990556,1,rooftop,1134,"Goettman St",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"3724 LIBERTY AVE PITTSBURGH PA 15201",40.462009,-79.961172,1,rooftop,3724,"Liberty Ave",,,Pittsburgh,PA,"Allegheny County",15201,US,Allegheny
"166 N DITHRIDGE ST UNIT 3-E PITTSBURGH PA 15213",40.448689,-79.951061,1,rooftop,166,"N Dithridge St",Apt,3C,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"144 N DITHRIDGE ST UNIT 716 PITTSBURGH PA 15213",40.44835,-79.95109,1,rooftop,144,"N Dithridge St",Apt,716,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"336 ORWELL WAY PITTSBURGH PA 15224",40.461844,-79.952064,1,rooftop,336,"Orwell Way",,,Pittsburgh,PA,"Allegheny County",15224,US,Allegheny
"400 PEARL ST PITTSBURGH PA 15224",40.460927,-79.951001,1,rooftop,400,"Pearl St",,,Pittsburgh,PA,"Allegheny County",15224,US,Allegheny
"144 N DITHRIDGE ST UNIT 501 PITTSBURGH PA 15213",40.44835,-79.95109,1,rooftop,144,"N Dithridge St",Apt,501,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"215 LYTTON AVE PITTSBURGH PA 15213",40.447294,-79.957132,1,rooftop,215,"Lytton Ave",,,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"307 S DITHRIDGE ST UNIT 204 PITTSBURGH PA 15213",40.445548,-79.950222,1,rooftop,307,"S Dithridge St",Apt,204,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"821 LOVITT WAY PITTSBURGH PA 15212",40.456233,-79.996649,1,rooftop,821,"Lovitt Way",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"307 S DITHRIDGE ST UNIT 607 PITTSBURGH PA 15213",40.445548,-79.950222,1,rooftop,307,"S Dithridge St",Apt,607,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"263 ROBINSON ST PITTSBURGH PA 15213",40.442084,-79.965923,1,rooftop,263,"Robinson St",,,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"629 EDMOND ST PITTSBURGH PA 15224",40.459055,-79.949572,1,rooftop,629,"Edmond St",,,Pittsburgh,PA,"Allegheny County",15224,US,Allegheny
"460 CEDARVILLE ST PITTSBURGH PA 15224",40.459002,-79.951204,1,rooftop,460,"Cedarville St",,,Pittsburgh,PA,"Allegheny County",15224,US,Allegheny
"360 LINNVIEW AVE PITTSBURGH PA 15210",40.404621,-79.982166,1,rooftop,360,"Linnview Ave",,,Pittsburgh,PA,"Allegheny County",15210,US,Allegheny
"3470 WEBSTER AVE PITTSBURGH PA 15219",40.456103,-79.959803,1,rooftop,3470,"Webster Ave",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"3 HEMINGWAY ST PITTSBURGH PA 15213",40.456761,-79.950206,1,rooftop,3,"Hemingway St",,,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"41 HEMINGWAY ST PITTSBURGH PA 15213",40.45675,-79.950366,1,rooftop,41,"Hemingway St",,,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"323 LAWN ST PITTSBURGH PA 15213",40.43438,-79.962929,1,rooftop,323,"Lawn St",,,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"413 MOORE AVE PITTSBURGH PA 15210",40.412207,-79.995609,1,rooftop,413,"Moore Ave",,,Pittsburgh,PA,"Allegheny County",15210,US,Allegheny
